7:302,39296,58,29,8,71092,68065,40656,15446,97273
18:47812,16042,54038,32205,26299,63512,55212,29351,57626,43939
19:
36:7950,47193,34299,28707,2162,30091,78553,7608,68509,62642
37:89839,76361,68989,17475,20959,65112,38892,79842,72538,61261
41:8000,40457,37498,3441,33094,26649,19306,16416,15640,11183
42:29548,62137,21949,8376,62166,5079,50384,49611,46515,40386
43:14906,43150,29732,1678,64722,16726,19982,16350,74157,23028
44:22348,99857,56058,36762,20667,17235,10085,83182,53702,49711
45:53818,75363,4858,15580,14021,31315,11751,17219,8476,7056
46:14663,68630,57228,101442,2388,4101,28231,1102,73294,71485
59:71563,47752,17174,112534,64054,46885,80581,506,49722,12605
60:56372,28355,843,15283,302,11385,3088,58,29,83721
69:9514,96822,93971,25923,11571,19996,12814,11447,853,12575
70:76180,74624,38142,59931,24138,68787,37657,31670,55148,18150
94:81556,16322,46673,70915,68651,38435,16745,25552,39992,84077
106:6109,5723,3421,1440,13580,43577,14316,8000,40457,37498
115:13776,7928,45375,10638,5173,29929,30314,1839,5343,30301
116:79201,48089,46177,14739,34489,16286,18889,6517,37567,49349
142:88303,22448,20890,15944,52892,35186,53600,34076,19657,18570
143:3231,483,394
148:18375,72675,33499,100468,62155,33474,39096,35589,31938,88233
150:81416,79821,71065,44428,27717,10637,654,861,302,182
156:26325,15521,9693,18311,17596,9906,50153,32558,31938,18851
161:5723,3421,1440,43577,14316,8000,40457,37498,3441,33094
171:13738,24588,8582,302,861,103078,26372,5598,14685,84
172:39240,654,58,9576,861,58471,1611,35735,84,5956
174:91046,11194,9699,4429,9059,7358,12915,8546,185,4604
177:50248,49683,28104,10581,76293,50458,4013,24720,8532,15836
196:6511,8964,1187,19233,21929,35589,5343,30301,2615,88823
202:48,32429,1102,91050,20350,14732,20613,65145,1187,11356
211:106950,48517,33065,22643,41198,36783,48958,19749,106389,7954
217:30531,64952,25839,91943,85488,67323,12183,26325,9352,8376
220:64973,186,10178,22713,7649,39446,46413,40356,83884,96879
223:50010,38851,5629,51314,26481,20860,33953,5223,80298,61202
224:4797,601,6417,16127,1043,53543,15627,8694,8898,47366
225:1187,3389,2278,10039,2162,36367,100075,875,302,654
228:61858,3851,46401,27615,14634,37864,20097,46821,40012,38143
229:3585,52478,63251,1913,15193,41352,33844,22083,99719,97732
